# Network edges data
# Layout: spring
# N: 28004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-10T16:53:11.757107
source,target,source_type,target_type
228,135,Type b,Type b
228,52,Type b,Type b
228,156,Type b,Type b
229,4,Type b,Type b
229,192,Type b,Type b
229,31,Type b,Type b
230,3,Type b,Type b
230,42,Type b,Type b
230,89,Type b,Type b
231,43,Type b,Type b
231,138,Type b,Type b
231,129,Type b,Type b
232,12,Type b,Type b
232,137,Type b,Type b
232,69,Type b,Type b
233,47,Type b,Type b
233,107,Type b,Type b
233,0,Type b,Type b
234,4,Type a,Type b
234,85,Type a,Type b
234,98,Type a,Type b
235,72,Type b,Type b
235,99,Type b,Type b
235,33,Type b,Type b
236,179,Type b,Type b
236,57,Type b,Type b
236,211,Type b,Type b
237,84,Type a,Type b
237,52,Type a,Type b
237,170,Type a,Type b
238,35,Type b,Type b
238,211,Type b,Type b
238,0,Type b,Type b
239,180,Type b,Type b
239,227,Type b,Type a
239,107,Type b,Type b
240,177,Type b,Type b
240,54,Type b,Type b
240,150,Type b,Type b
241,70,Type b,Type b
241,0,Type b,Type b
241,186,Type b,Type b
242,3,Type b,Type b
242,131,Type b,Type b
242,15,Type b,Type b
243,29,Type b,Type b
243,156,Type b,Type b
243,167,Type b,Type a
244,241,Type a,Type b
244,127,Type a,Type a
244,16,Type a,Type b
245,187,Type b,Type b
245,177,Type b,Type b
245,112,Type b,Type b
246,73,Type b,Type b
246,87,Type b,Type b
246,25,Type b,Type b
247,19,Type b,Type b
247,171,Type b,Type b
247,38,Type b,Type b
248,13,Type a,Type b
248,223,Type a,Type b
248,178,Type a,Type b
249,156,Type b,Type b
249,18,Type b,Type b
249,51,Type b,Type b
250,68,Type b,Type b
250,69,Type b,Type b
250,133,Type b,Type b
251,231,Type b,Type b
251,163,Type b,Type b
251,29,Type b,Type b
252,91,Type b,Type b
252,144,Type b,Type b
252,132,Type b,Type b
253,6,Type b,Type b
253,68,Type b,Type b
253,201,Type b,Type b
254,51,Type b,Type b
254,229,Type b,Type b
254,118,Type b,Type b
255,46,Type b,Type b
255,246,Type b,Type b
255,131,Type b,Type b
256,145,Type b,Type b
256,46,Type b,Type b
256,16,Type b,Type b
257,164,Type b,Type b
257,187,Type b,Type b
257,142,Type b,Type b
258,113,Type b,Type b
258,242,Type b,Type b
258,40,Type b,Type b
259,52,Type b,Type b
259,25,Type b,Type b
259,3,Type b,Type b
260,2,Type b,Type b
260,6,Type b,Type b
260,156,Type b,Type b
261,32,Type b,Type b
261,40,Type b,Type b
261,1,Type b,Type b
262,18,Type b,Type b
262,5,Type b,Type b
262,69,Type b,Type b
263,52,Type b,Type b
263,229,Type b,Type b
263,119,Type b,Type b
264,7,Type b,Type b
264,70,Type b,Type b
264,23,Type b,Type b
265,42,Type b,Type b
265,113,Type b,Type b
265,197,Type b,Type b
266,18,Type b,Type b
266,119,Type b,Type b
266,221,Type b,Type b
267,253,Type b,Type b
267,16,Type b,Type b
267,172,Type b,Type b
268,23,Type b,Type b
268,18,Type b,Type b
268,132,Type b,Type b
269,108,Type a,Type b
269,57,Type a,Type b
269,2,Type a,Type b
270,3,Type b,Type b
270,94,Type b,Type b
270,105,Type b,Type b
271,64,Type b,Type b
271,102,Type b,Type b
271,177,Type b,Type b
272,183,Type b,Type b
272,210,Type b,Type b
272,97,Type b,Type b
273,218,Type b,Type b
273,122,Type b,Type b
273,2,Type b,Type b
274,232,Type b,Type b
274,270,Type b,Type b
274,33,Type b,Type b
275,131,Type b,Type b
275,20,Type b,Type b
275,137,Type b,Type b
276,124,Type b,Type b
276,202,Type b,Type b
276,208,Type b,Type b
277,155,Type b,Type b
277,132,Type b,Type b
277,58,Type b,Type b
278,100,Type a,Type b
278,15,Type a,Type b
278,117,Type a,Type b
279,96,Type b,Type b
279,4,Type b,Type b
279,51,Type b,Type b
280,208,Type b,Type b
280,267,Type b,Type b
280,74,Type b,Type b
281,30,Type b,Type b
281,270,Type b,Type b
281,67,Type b,Type b
282,229,Type b,Type b
282,39,Type b,Type b
282,122,Type b,Type b
283,122,Type b,Type b
283,16,Type b,Type b
283,4,Type b,Type b
284,77,Type b,Type b
284,43,Type b,Type b
284,100,Type b,Type b
285,117,Type b,Type b
285,0,Type b,Type b
285,5,Type b,Type b
286,267,Type a,Type b
286,130,Type a,Type b
286,4,Type a,Type b
287,124,Type b,Type b
287,97,Type b,Type b
287,270,Type b,Type b
288,156,Type b,Type b
288,1,Type b,Type b
288,6,Type b,Type b
289,99,Type b,Type b
289,39,Type b,Type b
289,13,Type b,Type b
290,83,Type b,Type b
290,6,Type b,Type b
290,131,Type b,Type b
291,285,Type b,Type b
291,8,Type b,Type a
291,229,Type b,Type b
292,71,Type b,Type b
292,198,Type b,Type b
292,250,Type b,Type b
293,292,Type b,Type b
293,31,Type b,Type b
293,94,Type b,Type b
294,228,Type b,Type b
294,3,Type b,Type b
294,281,Type b,Type b
295,52,Type b,Type b
295,285,Type b,Type b
295,101,Type b,Type b
296,282,Type b,Type b
296,1,Type b,Type b
296,46,Type b,Type b
297,98,Type b,Type b
297,242,Type b,Type b
297,189,Type b,Type b
298,45,Type a,Type b
298,9,Type a,Type b
298,98,Type a,Type b
299,5,Type b,Type b
299,13,Type b,Type b
299,297,Type b,Type b
300,131,Type b,Type b
300,253,Type b,Type b
300,45,Type b,Type b
301,294,Type b,Type b
301,29,Type b,Type b
301,3,Type b,Type b
302,97,Type b,Type b
302,30,Type b,Type b
302,175,Type b,Type b
303,139,Type b,Type b
303,69,Type b,Type b
303,202,Type b,Type b
304,4,Type b,Type b
304,112,Type b,Type b
304,24,Type b,Type b
305,27,Type b,Type b
305,285,Type b,Type b
305,50,Type b,Type b
306,260,Type b,Type b
306,52,Type b,Type b
306,84,Type b,Type b
307,42,Type b,Type b
307,3,Type b,Type b
307,194,Type b,Type b
308,16,Type b,Type b
308,267,Type b,Type b
308,69,Type b,Type b
309,7,Type b,Type b
309,246,Type b,Type b
309,208,Type b,Type b
310,288,Type a,Type b
310,94,Type a,Type b
310,87,Type a,Type b
311,128,Type b,Type b
311,49,Type b,Type b
311,195,Type b,Type b
312,70,Type b,Type b
312,132,Type b,Type b
312,197,Type b,Type b
313,69,Type b,Type b
313,57,Type b,Type b
313,93,Type b,Type b
314,180,Type b,Type b
314,132,Type b,Type b
314,46,Type b,Type b
315,299,Type b,Type b
315,284,Type b,Type b
315,193,Type b,Type b
316,44,Type b,Type b
316,282,Type b,Type b
316,267,Type b,Type b
317,57,Type b,Type b
317,189,Type b,Type b
317,38,Type b,Type b
318,88,Type b,Type b
318,200,Type b,Type b
318,91,Type b,Type b
319,209,Type b,Type b
319,165,Type b,Type b
319,231,Type b,Type b
320,133,Type b,Type b
320,38,Type b,Type b
320,296,Type b,Type b
321,29,Type b,Type b
321,109,Type b,Type b
321,288,Type b,Type b
322,42,Type b,Type b
322,3,Type b,Type b
322,176,Type b,Type b
323,100,Type b,Type b
323,92,Type b,Type b
323,18,Type b,Type b
324,76,Type a,Type b
324,1,Type a,Type b
324,31,Type a,Type b
325,91,Type b,Type b
325,1,Type b,Type b
325,16,Type b,Type b
326,188,Type b,Type b
326,64,Type b,Type b
326,69,Type b,Type b
327,105,Type b,Type b
327,193,Type b,Type b
327,94,Type b,Type b
328,54,Type b,Type b
328,70,Type b,Type b
328,291,Type b,Type b
329,126,Type b,Type b
329,41,Type b,Type b
329,38,Type b,Type b
330,2,Type b,Type b
330,270,Type b,Type b
330,58,Type b,Type b
331,110,Type b,Type b
331,193,Type b,Type b
331,3,Type b,Type b
332,144,Type b,Type b
332,257,Type b,Type b
332,263,Type b,Type b
333,190,Type b,Type b
333,105,Type b,Type b
333,329,Type b,Type b
334,91,Type b,Type b
334,8,Type b,Type a
334,124,Type b,Type b
335,198,Type b,Type b
335,34,Type b,Type b
335,5,Type b,Type b
336,295,Type b,Type b
336,6,Type b,Type b
336,70,Type b,Type b
337,181,Type b,Type b
337,303,Type b,Type b
337,293,Type b,Type b
338,299,Type b,Type b
338,110,Type b,Type b
338,217,Type b,Type b
339,325,Type b,Type b
339,196,Type b,Type b
339,229,Type b,Type b
340,58,Type b,Type b
340,156,Type b,Type b
340,67,Type b,Type b
341,247,Type b,Type b
341,272,Type b,Type b
341,1,Type b,Type b
342,6,Type b,Type b
342,132,Type b,Type b
342,293,Type b,Type b
343,305,Type b,Type b
343,337,Type b,Type b
343,153,Type b,Type b
344,57,Type b,Type b
344,77,Type b,Type b
344,277,Type b,Type b
345,204,Type b,Type b
345,243,Type b,Type b
345,47,Type b,Type b
346,70,Type b,Type b
346,15,Type b,Type b
346,58,Type b,Type b
347,100,Type b,Type b
347,115,Type b,Type b
347,185,Type b,Type b
348,38,Type b,Type b
348,6,Type b,Type b
348,279,Type b,Type b
349,227,Type b,Type a
349,328,Type b,Type b
349,339,Type b,Type b
350,213,Type b,Type b
350,148,Type b,Type b
350,261,Type b,Type b
351,119,Type b,Type b
351,116,Type b,Type b
351,181,Type b,Type b
352,86,Type b,Type b
352,17,Type b,Type b
352,43,Type b,Type b
353,330,Type b,Type b
353,281,Type b,Type b
353,13,Type b,Type b
354,0,Type b,Type b
354,199,Type b,Type b
354,236,Type b,Type b
355,57,Type b,Type b
355,44,Type b,Type b
355,14,Type b,Type b
356,170,Type b,Type b
356,319,Type b,Type b
356,31,Type b,Type b
357,174,Type b,Type b
357,37,Type b,Type b
357,5,Type b,Type b
358,241,Type b,Type b
358,168,Type b,Type b
358,132,Type b,Type b
359,342,Type b,Type b
359,305,Type b,Type b
359,263,Type b,Type b
360,93,Type b,Type b
360,202,Type b,Type b
360,161,Type b,Type b
361,325,Type b,Type b
361,107,Type b,Type b
361,6,Type b,Type b
362,91,Type b,Type b
362,326,Type b,Type b
362,3,Type b,Type b
363,192,Type b,Type b
363,42,Type b,Type b
363,358,Type b,Type b
364,41,Type b,Type b
364,217,Type b,Type b
364,38,Type b,Type b
365,46,Type b,Type b
365,267,Type b,Type b
365,273,Type b,Type b
366,308,Type b,Type b
366,273,Type b,Type b
366,325,Type b,Type b
367,299,Type b,Type b
367,176,Type b,Type b
367,6,Type b,Type b
368,124,Type b,Type b
368,287,Type b,Type b
368,358,Type b,Type b
369,231,Type b,Type b
369,43,Type b,Type b
369,4,Type b,Type b
370,3,Type b,Type b
370,119,Type b,Type b
370,4,Type b,Type b
371,216,Type b,Type b
371,299,Type b,Type b
371,16,Type b,Type b
372,363,Type b,Type b
372,47,Type b,Type b
372,20,Type b,Type b
373,347,Type b,Type b
373,280,Type b,Type b
373,295,Type b,Type b
374,48,Type b,Type b
374,32,Type b,Type b
374,2,Type b,Type b
375,354,Type a,Type b
375,338,Type a,Type b
375,186,Type a,Type b
376,7,Type b,Type b
376,37,Type b,Type b
376,355,Type b,Type b
377,356,Type b,Type b
377,163,Type b,Type b
377,92,Type b,Type b
378,10,Type b,Type b
378,46,Type b,Type b
378,40,Type b,Type b
379,261,Type b,Type b
379,5,Type b,Type b
379,262,Type b,Type b
