# Network edges data
# Layout: spring
# N: 28005, m: 2
# h: 0.7, f_a: 0.4
# Initial core size (n0): 5
# Added nodes: 28000
# Generated: 2026-03-19T13:50:06.767823
source,target,source_origin,target_origin,source_type,target_type
226,103,added,added,Type b,Type a
227,3,added,initial_core,Type b,Type b
227,76,added,added,Type b,Type a
228,100,added,added,Type b,Type b
228,190,added,added,Type b,Type a
229,23,added,added,Type a,Type a
229,55,added,added,Type a,Type a
230,175,added,added,Type b,Type a
230,137,added,added,Type b,Type b
231,45,added,added,Type b,Type a
231,138,added,added,Type b,Type a
232,54,added,added,Type a,Type b
232,1,added,initial_core,Type a,Type b
233,18,added,added,Type b,Type a
233,219,added,added,Type b,Type b
234,1,added,initial_core,Type a,Type b
234,76,added,added,Type a,Type a
235,27,added,added,Type b,Type b
235,8,added,added,Type b,Type a
236,0,added,initial_core,Type a,Type a
236,101,added,added,Type a,Type a
237,169,added,added,Type a,Type b
237,20,added,added,Type a,Type b
238,2,added,initial_core,Type b,Type a
238,34,added,added,Type b,Type a
239,100,added,added,Type b,Type b
239,64,added,added,Type b,Type a
240,38,added,added,Type b,Type b
240,3,added,initial_core,Type b,Type b
241,96,added,added,Type b,Type a
241,164,added,added,Type b,Type b
242,79,added,added,Type a,Type b
242,197,added,added,Type a,Type a
243,28,added,added,Type b,Type a
243,214,added,added,Type b,Type a
244,179,added,added,Type b,Type b
244,169,added,added,Type b,Type b
245,32,added,added,Type b,Type a
245,116,added,added,Type b,Type a
246,121,added,added,Type a,Type b
246,82,added,added,Type a,Type a
247,61,added,added,Type a,Type b
247,30,added,added,Type a,Type a
248,58,added,added,Type b,Type a
248,74,added,added,Type b,Type b
249,7,added,added,Type a,Type b
249,190,added,added,Type a,Type a
250,34,added,added,Type a,Type a
250,133,added,added,Type a,Type b
251,54,added,added,Type a,Type b
251,1,added,initial_core,Type a,Type b
252,96,added,added,Type b,Type a
252,63,added,added,Type b,Type b
253,14,added,added,Type a,Type b
253,50,added,added,Type a,Type b
254,31,added,added,Type a,Type b
254,0,added,initial_core,Type a,Type a
255,3,added,initial_core,Type a,Type b
255,224,added,added,Type a,Type b
256,23,added,added,Type b,Type a
256,108,added,added,Type b,Type a
257,120,added,added,Type a,Type a
257,83,added,added,Type a,Type a
258,218,added,added,Type a,Type a
258,134,added,added,Type a,Type a
259,30,added,added,Type b,Type a
259,51,added,added,Type b,Type a
260,113,added,added,Type b,Type b
260,30,added,added,Type b,Type a
261,190,added,added,Type a,Type a
261,41,added,added,Type a,Type a
262,137,added,added,Type a,Type b
262,38,added,added,Type a,Type b
263,8,added,added,Type b,Type a
263,28,added,added,Type b,Type a
264,111,added,added,Type b,Type b
264,55,added,added,Type b,Type a
265,133,added,added,Type b,Type b
265,16,added,added,Type b,Type b
266,214,added,added,Type a,Type a
266,237,added,added,Type a,Type a
267,91,added,added,Type b,Type a
267,227,added,added,Type b,Type b
268,242,added,added,Type b,Type a
268,146,added,added,Type b,Type b
269,214,added,added,Type a,Type a
269,92,added,added,Type a,Type a
270,25,added,added,Type a,Type b
270,31,added,added,Type a,Type b
271,1,added,initial_core,Type b,Type b
271,47,added,added,Type b,Type b
272,6,added,added,Type a,Type b
272,85,added,added,Type a,Type a
273,219,added,added,Type a,Type b
273,91,added,added,Type a,Type a
274,4,added,initial_core,Type a,Type b
274,102,added,added,Type a,Type a
275,60,added,added,Type b,Type a
275,93,added,added,Type b,Type a
276,132,added,added,Type b,Type a
276,116,added,added,Type b,Type a
277,14,added,added,Type b,Type b
277,16,added,added,Type b,Type b
278,194,added,added,Type b,Type a
278,267,added,added,Type b,Type b
279,64,added,added,Type b,Type a
279,257,added,added,Type b,Type a
280,63,added,added,Type b,Type b
280,67,added,added,Type b,Type a
281,3,added,initial_core,Type b,Type b
281,14,added,added,Type b,Type b
282,147,added,added,Type b,Type b
282,227,added,added,Type b,Type b
283,12,added,added,Type b,Type a
283,147,added,added,Type b,Type b
284,95,added,added,Type a,Type b
284,21,added,added,Type a,Type b
285,224,added,added,Type a,Type b
285,101,added,added,Type a,Type a
286,14,added,added,Type b,Type b
286,72,added,added,Type b,Type b
287,273,added,added,Type a,Type a
287,172,added,added,Type a,Type a
288,147,added,added,Type b,Type b
288,3,added,initial_core,Type b,Type b
289,167,added,added,Type b,Type a
289,155,added,added,Type b,Type a
290,32,added,added,Type b,Type a
290,87,added,added,Type b,Type b
291,8,added,added,Type b,Type a
291,187,added,added,Type b,Type a
292,14,added,added,Type b,Type b
292,122,added,added,Type b,Type a
293,98,added,added,Type b,Type a
293,1,added,initial_core,Type b,Type b
294,137,added,added,Type b,Type b
294,84,added,added,Type b,Type b
295,74,added,added,Type b,Type b
295,23,added,added,Type b,Type a
296,198,added,added,Type a,Type a
296,13,added,added,Type a,Type b
297,4,added,initial_core,Type b,Type b
297,133,added,added,Type b,Type b
298,168,added,added,Type a,Type b
298,0,added,initial_core,Type a,Type a
299,117,added,added,Type b,Type a
299,199,added,added,Type b,Type b
300,114,added,added,Type b,Type b
300,103,added,added,Type b,Type a
301,156,added,added,Type b,Type a
301,200,added,added,Type b,Type a
302,298,added,added,Type b,Type a
302,108,added,added,Type b,Type a
303,1,added,initial_core,Type a,Type b
303,222,added,added,Type a,Type a
304,119,added,added,Type a,Type b
304,92,added,added,Type a,Type a
305,55,added,added,Type b,Type a
305,16,added,added,Type b,Type b
306,8,added,added,Type a,Type a
306,98,added,added,Type a,Type a
307,69,added,added,Type a,Type a
307,26,added,added,Type a,Type b
308,178,added,added,Type a,Type a
308,208,added,added,Type a,Type b
309,63,added,added,Type b,Type b
309,87,added,added,Type b,Type b
310,142,added,added,Type b,Type b
310,102,added,added,Type b,Type a
311,30,added,added,Type a,Type a
311,107,added,added,Type a,Type b
312,60,added,added,Type b,Type a
312,113,added,added,Type b,Type b
313,54,added,added,Type b,Type b
313,209,added,added,Type b,Type a
314,63,added,added,Type b,Type b
314,98,added,added,Type b,Type a
315,121,added,added,Type a,Type b
315,225,added,added,Type a,Type a
316,146,added,added,Type a,Type b
316,2,added,initial_core,Type a,Type a
317,137,added,added,Type a,Type b
317,104,added,added,Type a,Type a
318,52,added,added,Type a,Type a
318,8,added,added,Type a,Type a
319,161,added,added,Type b,Type b
319,299,added,added,Type b,Type b
320,273,added,added,Type b,Type a
320,217,added,added,Type b,Type b
321,108,added,added,Type b,Type a
321,8,added,added,Type b,Type a
322,133,added,added,Type a,Type b
322,63,added,added,Type a,Type b
323,222,added,added,Type a,Type a
323,60,added,added,Type a,Type a
324,8,added,added,Type a,Type a
324,3,added,initial_core,Type a,Type b
325,115,added,added,Type a,Type b
325,100,added,added,Type a,Type b
326,10,added,added,Type a,Type a
326,92,added,added,Type a,Type a
327,96,added,added,Type b,Type a
327,101,added,added,Type b,Type a
328,240,added,added,Type b,Type b
328,198,added,added,Type b,Type a
329,122,added,added,Type a,Type a
329,190,added,added,Type a,Type a
330,2,added,initial_core,Type b,Type a
330,161,added,added,Type b,Type b
331,45,added,added,Type b,Type a
331,219,added,added,Type b,Type b
332,152,added,added,Type b,Type a
332,1,added,initial_core,Type b,Type b
333,102,added,added,Type a,Type a
333,109,added,added,Type a,Type b
334,318,added,added,Type a,Type a
334,30,added,added,Type a,Type a
335,76,added,added,Type b,Type a
335,88,added,added,Type b,Type a
336,322,added,added,Type b,Type a
336,1,added,initial_core,Type b,Type b
337,158,added,added,Type b,Type b
337,113,added,added,Type b,Type b
338,101,added,added,Type a,Type a
338,36,added,added,Type a,Type b
339,12,added,added,Type b,Type a
339,16,added,added,Type b,Type b
340,92,added,added,Type b,Type a
340,152,added,added,Type b,Type a
341,190,added,added,Type b,Type a
341,14,added,added,Type b,Type b
342,52,added,added,Type b,Type a
342,178,added,added,Type b,Type a
343,242,added,added,Type a,Type a
343,254,added,added,Type a,Type a
344,35,added,added,Type b,Type a
344,76,added,added,Type b,Type a
345,21,added,added,Type a,Type b
345,4,added,initial_core,Type a,Type b
346,90,added,added,Type b,Type b
346,4,added,initial_core,Type b,Type b
347,138,added,added,Type b,Type a
347,109,added,added,Type b,Type b
348,94,added,added,Type a,Type a
348,104,added,added,Type a,Type a
349,33,added,added,Type a,Type b
349,347,added,added,Type a,Type b
350,287,added,added,Type b,Type a
350,101,added,added,Type b,Type a
351,8,added,added,Type b,Type a
351,84,added,added,Type b,Type b
352,47,added,added,Type b,Type b
352,258,added,added,Type b,Type a
353,41,added,added,Type b,Type a
353,2,added,initial_core,Type b,Type a
354,31,added,added,Type b,Type b
354,212,added,added,Type b,Type a
355,273,added,added,Type b,Type a
355,4,added,initial_core,Type b,Type b
356,269,added,added,Type b,Type a
356,250,added,added,Type b,Type a
357,5,added,added,Type b,Type a
357,100,added,added,Type b,Type b
358,119,added,added,Type b,Type b
358,0,added,initial_core,Type b,Type a
359,211,added,added,Type b,Type b
359,102,added,added,Type b,Type a
360,19,added,added,Type a,Type b
360,0,added,initial_core,Type a,Type a
361,194,added,added,Type b,Type a
361,178,added,added,Type b,Type a
362,83,added,added,Type b,Type a
362,194,added,added,Type b,Type a
363,139,added,added,Type b,Type b
363,8,added,added,Type b,Type a
