# Network edges data
# Layout: spring
# N: 28004, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-04-09T15:34:28.318197
source,target,source_type,target_type
166,3,Type a,Type b
166,85,Type a,Type a
166,79,Type a,Type a
167,17,Type b,Type a
167,151,Type b,Type b
167,65,Type b,Type b
168,16,Type a,Type a
168,152,Type a,Type a
168,3,Type a,Type b
169,16,Type a,Type a
169,44,Type a,Type b
169,110,Type a,Type a
170,64,Type a,Type b
170,10,Type a,Type b
170,131,Type a,Type b
171,166,Type b,Type a
171,13,Type b,Type b
171,0,Type b,Type a
172,145,Type a,Type a
172,88,Type a,Type b
172,2,Type a,Type a
173,50,Type b,Type b
173,94,Type b,Type b
173,2,Type b,Type a
174,123,Type b,Type b
174,2,Type b,Type a
174,91,Type b,Type b
175,0,Type a,Type a
175,35,Type a,Type b
175,120,Type a,Type a
176,5,Type b,Type b
176,29,Type b,Type a
176,7,Type b,Type b
177,166,Type a,Type a
177,48,Type a,Type a
177,129,Type a,Type a
178,93,Type a,Type a
178,23,Type a,Type a
178,147,Type a,Type a
179,1,Type b,Type b
179,2,Type b,Type a
179,174,Type b,Type b
180,3,Type a,Type b
180,2,Type a,Type a
180,4,Type a,Type b
181,55,Type a,Type a
181,3,Type a,Type b
181,7,Type a,Type b
182,12,Type a,Type b
182,170,Type a,Type a
182,9,Type a,Type b
183,5,Type b,Type b
183,145,Type b,Type a
183,2,Type b,Type a
184,3,Type a,Type b
184,69,Type a,Type a
184,20,Type a,Type b
185,68,Type b,Type a
185,39,Type b,Type b
185,91,Type b,Type b
186,8,Type a,Type a
186,41,Type a,Type b
186,2,Type a,Type a
187,2,Type a,Type a
187,110,Type a,Type a
187,23,Type a,Type a
188,19,Type b,Type a
188,104,Type b,Type b
188,8,Type b,Type a
189,3,Type a,Type b
189,58,Type a,Type b
189,63,Type a,Type b
190,60,Type a,Type a
190,132,Type a,Type a
190,166,Type a,Type a
191,121,Type a,Type a
191,30,Type a,Type b
191,96,Type a,Type a
192,2,Type a,Type a
192,23,Type a,Type a
192,130,Type a,Type a
193,17,Type a,Type a
193,128,Type a,Type b
193,187,Type a,Type a
194,129,Type b,Type a
194,47,Type b,Type a
194,63,Type b,Type b
195,83,Type a,Type b
195,17,Type a,Type a
195,16,Type a,Type a
196,39,Type a,Type b
196,1,Type a,Type b
196,35,Type a,Type b
197,4,Type b,Type b
197,2,Type b,Type a
197,23,Type b,Type a
198,86,Type a,Type a
198,1,Type a,Type b
198,105,Type a,Type a
199,24,Type b,Type b
199,18,Type b,Type b
199,95,Type b,Type a
200,1,Type a,Type b
200,2,Type a,Type a
200,11,Type a,Type b
201,3,Type b,Type b
201,166,Type b,Type a
201,31,Type b,Type a
202,129,Type b,Type a
202,193,Type b,Type a
202,6,Type b,Type a
203,0,Type b,Type a
203,175,Type b,Type a
203,13,Type b,Type b
204,0,Type a,Type a
204,63,Type a,Type b
204,181,Type a,Type a
205,4,Type a,Type b
205,107,Type a,Type a
205,3,Type a,Type b
206,166,Type a,Type a
206,186,Type a,Type a
206,5,Type a,Type b
207,2,Type b,Type a
207,1,Type b,Type b
207,4,Type b,Type b
208,174,Type b,Type b
208,21,Type b,Type a
208,107,Type b,Type a
209,76,Type b,Type b
209,103,Type b,Type a
209,8,Type b,Type a
210,181,Type b,Type a
210,82,Type b,Type b
210,35,Type b,Type b
211,109,Type b,Type a
211,2,Type b,Type a
211,30,Type b,Type b
212,58,Type a,Type b
212,147,Type a,Type a
212,103,Type a,Type a
213,157,Type a,Type a
213,91,Type a,Type b
213,97,Type a,Type b
214,130,Type a,Type a
214,11,Type a,Type b
214,63,Type a,Type b
215,23,Type b,Type a
215,55,Type b,Type a
215,157,Type b,Type a
216,89,Type a,Type b
216,212,Type a,Type a
216,79,Type a,Type a
217,86,Type a,Type a
217,197,Type a,Type b
217,0,Type a,Type a
218,116,Type a,Type b
218,61,Type a,Type b
218,64,Type a,Type b
219,1,Type b,Type b
219,29,Type b,Type a
219,191,Type b,Type a
220,211,Type a,Type b
220,61,Type a,Type b
220,14,Type a,Type a
