# Network nodes data
# Layout: spring
# N: 28004, m: 3
# h: 0.7, f_a: 0.55
# Generated: 2026-04-09T15:34:27.863088
node_id,node_type,in_degree,out_degree
602,Type a,1,3
603,Type b,37,3
604,Type a,27,3
605,Type b,8,3
606,Type b,2,3
607,Type b,22,3
608,Type b,25,3
609,Type b,36,3
610,Type b,0,3
611,Type a,28,3
612,Type a,11,3
613,Type b,20,3
614,Type a,30,3
615,Type b,20,3
616,Type a,32,3
617,Type a,15,3
618,Type a,3,3
619,Type a,14,3
620,Type a,3,3
621,Type b,22,3
622,Type a,15,3
623,Type a,25,3
624,Type b,15,3
625,Type a,10,3
626,Type b,0,3
627,Type b,9,3
628,Type a,17,3
629,Type a,28,3
630,Type a,8,3
631,Type a,12,3
632,Type b,10,3
633,Type b,4,3
634,Type b,8,3
635,Type b,22,3
636,Type b,5,3
637,Type a,15,3
638,Type b,23,3
639,Type a,15,3
640,Type b,8,3
641,Type b,10,3
642,Type b,30,3
643,Type a,6,3
644,Type a,42,3
645,Type b,10,3
646,Type a,9,3
647,Type b,66,3
648,Type b,19,3
649,Type b,20,3
650,Type a,20,3
651,Type b,6,3
652,Type a,5,3
653,Type b,5,3
654,Type a,35,3
655,Type b,6,3
656,Type b,16,3
657,Type b,27,3
658,Type a,5,3
659,Type a,39,3
660,Type b,13,3
661,Type b,13,3
662,Type a,14,3
663,Type a,10,3
664,Type b,10,3
665,Type a,20,3
666,Type a,10,3
667,Type a,7,3
668,Type a,19,3
669,Type b,41,3
670,Type a,27,3
671,Type a,4,3
672,Type b,16,3
673,Type b,4,3
674,Type a,23,3
675,Type b,4,3
676,Type b,11,3
677,Type b,20,3
678,Type a,9,3
679,Type a,6,3
680,Type a,1,3
681,Type b,30,3
682,Type a,4,3
683,Type a,7,3
684,Type b,14,3
685,Type a,6,3
686,Type a,17,3
687,Type a,5,3
688,Type a,12,3
689,Type a,32,3
690,Type a,33,3
691,Type b,7,3
692,Type b,10,3
693,Type a,7,3
694,Type b,5,3
695,Type b,8,3
696,Type a,14,3
697,Type b,3,3
698,Type a,13,3
699,Type a,8,3
700,Type a,15,3
701,Type a,17,3
702,Type b,42,3
703,Type a,9,3
704,Type a,22,3
705,Type b,5,3
706,Type b,5,3
707,Type a,12,3
708,Type a,6,3
709,Type a,0,3
710,Type b,12,3
711,Type a,26,3
712,Type b,41,3
713,Type a,2,3
714,Type a,2,3
715,Type a,9,3
716,Type b,6,3
717,Type b,17,3
718,Type b,33,3
719,Type a,6,3
720,Type a,11,3
721,Type b,17,3
722,Type b,13,3
723,Type b,16,3
724,Type a,31,3
725,Type a,8,3
726,Type a,49,3
727,Type b,11,3
728,Type a,9,3
729,Type b,25,3
730,Type a,9,3
731,Type b,26,3
732,Type a,56,3
733,Type a,3,3
734,Type a,16,3
735,Type a,27,3
736,Type a,38,3
737,Type b,11,3
738,Type a,51,3
739,Type b,1,3
740,Type b,3,3
741,Type b,14,3
742,Type a,1,3
743,Type b,20,3
744,Type b,16,3
745,Type b,5,3
746,Type b,15,3
747,Type a,26,3
748,Type b,14,3
749,Type a,18,3
750,Type a,25,3
751,Type b,22,3
752,Type a,3,3
753,Type a,13,3
754,Type b,11,3
755,Type b,16,3
756,Type b,12,3
