# Network nodes data
# Layout: spring
# N: 28005, m: 2
# h: 0.7, f_a: 0.4
# Initial core size (n0): 5
# Added nodes: 28000
# Generated: 2026-08-19T11:53:41.537369
node_id,node_origin,node_type,in_degree,out_degree
761,added,Type a,14,2
762,added,Type a,10,2
763,added,Type a,7,2
764,added,Type b,2,2
765,added,Type a,17,2
766,added,Type b,2,2
767,added,Type b,2,2
768,added,Type b,3,2
769,added,Type b,2,2
770,added,Type b,7,2
771,added,Type b,3,2
772,added,Type a,25,2
773,added,Type b,0,2
774,added,Type a,16,2
775,added,Type a,3,2
776,added,Type b,2,2
777,added,Type a,19,2
778,added,Type b,5,2
779,added,Type b,31,2
780,added,Type b,0,2
781,added,Type b,3,2
782,added,Type b,13,2
783,added,Type b,19,2
784,added,Type b,29,2
785,added,Type b,3,2
786,added,Type b,10,2
787,added,Type a,20,2
788,added,Type a,33,2
789,added,Type b,7,2
790,added,Type a,16,2
791,added,Type b,7,2
792,added,Type b,1,2
793,added,Type a,14,2
794,added,Type b,4,2
795,added,Type a,18,2
796,added,Type b,5,2
797,added,Type b,5,2
798,added,Type b,0,2
799,added,Type b,7,2
800,added,Type b,2,2
801,added,Type b,9,2
802,added,Type b,5,2
803,added,Type b,13,2
804,added,Type b,2,2
805,added,Type a,16,2
806,added,Type a,9,2
807,added,Type a,14,2
808,added,Type b,17,2
809,added,Type b,3,2
810,added,Type b,6,2
811,added,Type b,5,2
812,added,Type a,10,2
813,added,Type b,0,2
814,added,Type b,2,2
815,added,Type a,9,2
816,added,Type a,15,2
817,added,Type b,4,2
818,added,Type a,4,2
819,added,Type b,0,2
820,added,Type a,1,2
821,added,Type a,19,2
822,added,Type a,11,2
823,added,Type a,19,2
824,added,Type b,2,2
825,added,Type b,9,2
826,added,Type b,6,2
827,added,Type a,27,2
828,added,Type b,0,2
829,added,Type b,4,2
830,added,Type a,25,2
831,added,Type b,6,2
832,added,Type b,16,2
833,added,Type b,10,2
834,added,Type a,8,2
835,added,Type b,4,2
836,added,Type b,14,2
837,added,Type a,11,2
838,added,Type b,11,2
839,added,Type b,10,2
840,added,Type a,8,2
841,added,Type a,14,2
842,added,Type b,3,2
843,added,Type a,9,2
844,added,Type a,7,2
845,added,Type b,2,2
846,added,Type a,14,2
847,added,Type b,6,2
848,added,Type a,21,2
849,added,Type b,10,2
850,added,Type b,25,2
851,added,Type a,10,2
852,added,Type b,4,2
853,added,Type b,15,2
854,added,Type a,12,2
855,added,Type b,1,2
856,added,Type b,13,2
857,added,Type b,29,2
858,added,Type a,6,2
859,added,Type a,4,2
860,added,Type b,13,2
861,added,Type a,9,2
862,added,Type b,10,2
863,added,Type b,9,2
864,added,Type a,16,2
865,added,Type a,27,2
866,added,Type a,5,2
867,added,Type b,4,2
868,added,Type b,7,2
869,added,Type a,8,2
870,added,Type b,1,2
871,added,Type b,2,2
872,added,Type a,26,2
873,added,Type a,5,2
874,added,Type b,6,2
875,added,Type a,12,2
876,added,Type b,5,2
877,added,Type b,12,2
878,added,Type b,24,2
879,added,Type b,12,2
880,added,Type b,4,2
881,added,Type b,11,2
882,added,Type a,5,2
883,added,Type b,5,2
884,added,Type b,7,2
885,added,Type b,4,2
886,added,Type a,25,2
