# Network edges data
# Layout: spring
# N: 1005, m: 2
# h: 0.7, f_a: 0.6
# Initial core size (n0): 5
# Added nodes: 1000
# Generated: 2026-03-13T16:19:24.844865
source,target,source_origin,target_origin,source_type,target_type
264,96,added,added,Type a,Type a
265,192,added,added,Type a,Type a
265,113,added,added,Type a,Type b
266,21,added,added,Type a,Type b
266,204,added,added,Type a,Type a
267,125,added,added,Type b,Type a
267,75,added,added,Type b,Type a
268,110,added,added,Type b,Type b
268,235,added,added,Type b,Type a
269,14,added,added,Type b,Type b
269,205,added,added,Type b,Type a
270,30,added,added,Type a,Type b
270,17,added,added,Type a,Type a
271,80,added,added,Type a,Type a
271,1,added,initial_core,Type a,Type b
272,20,added,added,Type a,Type b
272,3,added,initial_core,Type a,Type b
273,32,added,added,Type a,Type b
273,208,added,added,Type a,Type b
274,7,added,added,Type a,Type a
274,2,added,initial_core,Type a,Type a
275,165,added,added,Type a,Type a
275,45,added,added,Type a,Type a
276,176,added,added,Type a,Type a
276,110,added,added,Type a,Type b
277,218,added,added,Type b,Type a
277,9,added,added,Type b,Type a
278,247,added,added,Type a,Type a
278,178,added,added,Type a,Type a
279,78,added,added,Type b,Type a
279,50,added,added,Type b,Type a
280,104,added,added,Type b,Type a
280,48,added,added,Type b,Type a
281,62,added,added,Type a,Type a
281,2,added,initial_core,Type a,Type a
282,108,added,added,Type a,Type a
282,128,added,added,Type a,Type a
283,91,added,added,Type b,Type a
283,8,added,added,Type b,Type a
284,8,added,added,Type b,Type a
284,80,added,added,Type b,Type a
285,22,added,added,Type a,Type a
285,213,added,added,Type a,Type a
286,158,added,added,Type a,Type b
286,8,added,added,Type a,Type a
287,44,added,added,Type a,Type a
287,273,added,added,Type a,Type a
288,193,added,added,Type b,Type b
288,127,added,added,Type b,Type b
289,176,added,added,Type a,Type a
289,149,added,added,Type a,Type b
290,54,added,added,Type b,Type b
290,22,added,added,Type b,Type a
291,47,added,added,Type a,Type b
291,4,added,initial_core,Type a,Type a
292,121,added,added,Type b,Type a
292,8,added,added,Type b,Type a
293,263,added,added,Type b,Type a
293,83,added,added,Type b,Type a
294,274,added,added,Type a,Type a
294,118,added,added,Type a,Type b
295,268,added,added,Type a,Type b
295,57,added,added,Type a,Type a
296,0,added,initial_core,Type a,Type a
296,184,added,added,Type a,Type a
297,186,added,added,Type a,Type a
297,3,added,initial_core,Type a,Type b
298,1,added,initial_core,Type b,Type b
298,152,added,added,Type b,Type a
299,239,added,added,Type a,Type a
299,100,added,added,Type a,Type a
300,255,added,added,Type b,Type a
300,98,added,added,Type b,Type a
301,259,added,added,Type a,Type b
301,140,added,added,Type a,Type a
302,79,added,added,Type b,Type a
302,298,added,added,Type b,Type b
303,8,added,added,Type a,Type a
303,1,added,initial_core,Type a,Type b
304,3,added,initial_core,Type b,Type b
304,102,added,added,Type b,Type a
305,201,added,added,Type a,Type a
305,43,added,added,Type a,Type a
306,11,added,added,Type a,Type b
306,5,added,added,Type a,Type a
307,2,added,initial_core,Type a,Type a
307,55,added,added,Type a,Type a
308,8,added,added,Type a,Type a
308,163,added,added,Type a,Type b
309,167,added,added,Type b,Type a
309,48,added,added,Type b,Type a
310,159,added,added,Type a,Type b
310,122,added,added,Type a,Type a
311,20,added,added,Type a,Type b
311,21,added,added,Type a,Type b
312,192,added,added,Type a,Type a
312,44,added,added,Type a,Type a
313,306,added,added,Type a,Type a
313,40,added,added,Type a,Type b
314,104,added,added,Type b,Type a
314,47,added,added,Type b,Type b
315,2,added,initial_core,Type a,Type a
315,104,added,added,Type a,Type a
316,2,added,initial_core,Type b,Type a
316,126,added,added,Type b,Type b
317,5,added,added,Type a,Type a
317,118,added,added,Type a,Type b
318,12,added,added,Type a,Type a
318,37,added,added,Type a,Type a
319,149,added,added,Type a,Type b
319,144,added,added,Type a,Type a
320,148,added,added,Type b,Type a
320,268,added,added,Type b,Type b
321,105,added,added,Type b,Type a
321,93,added,added,Type b,Type a
322,10,added,added,Type a,Type a
322,112,added,added,Type a,Type b
323,5,added,added,Type a,Type a
323,208,added,added,Type a,Type b
324,2,added,initial_core,Type a,Type a
324,5,added,added,Type a,Type a
325,17,added,added,Type a,Type a
325,98,added,added,Type a,Type a
326,14,added,added,Type a,Type b
326,6,added,added,Type a,Type a
327,119,added,added,Type a,Type b
327,79,added,added,Type a,Type a
328,275,added,added,Type a,Type a
328,227,added,added,Type a,Type b
329,51,added,added,Type b,Type a
329,104,added,added,Type b,Type a
330,61,added,added,Type b,Type b
330,1,added,initial_core,Type b,Type b
331,248,added,added,Type b,Type a
331,30,added,added,Type b,Type b
332,166,added,added,Type b,Type b
332,130,added,added,Type b,Type a
333,0,added,initial_core,Type a,Type a
333,86,added,added,Type a,Type b
334,5,added,added,Type a,Type a
334,315,added,added,Type a,Type a
335,191,added,added,Type a,Type a
335,57,added,added,Type a,Type a
