# Network nodes data
# Layout: spring
# N: 500004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-09T16:39:47.109221
node_id,node_type,in_degree,out_degree
591,Type a,2,3
592,Type b,30,3
593,Type a,9,3
594,Type b,69,3
595,Type a,5,3
596,Type b,72,3
597,Type b,50,3
598,Type b,39,3
599,Type b,32,3
600,Type b,26,3
601,Type b,77,3
602,Type b,56,3
603,Type b,69,3
604,Type b,82,3
605,Type b,61,3
606,Type b,74,3
607,Type b,90,3
608,Type b,78,3
609,Type a,4,3
610,Type b,46,3
611,Type b,54,3
612,Type b,33,3
613,Type b,80,3
614,Type b,24,3
615,Type b,42,3
616,Type b,59,3
617,Type a,6,3
618,Type b,39,3
619,Type b,105,3
620,Type a,3,3
621,Type b,69,3
622,Type b,31,3
623,Type a,10,3
624,Type b,36,3
625,Type b,41,3
626,Type b,39,3
627,Type b,52,3
628,Type b,37,3
629,Type b,64,3
630,Type b,49,3
631,Type b,43,3
632,Type b,51,3
633,Type b,73,3
634,Type b,38,3
635,Type b,21,3
636,Type b,79,3
637,Type b,12,3
638,Type b,49,3
639,Type b,74,3
640,Type b,31,3
641,Type b,48,3
642,Type b,23,3
643,Type b,48,3
644,Type b,58,3
645,Type b,63,3
646,Type b,67,3
647,Type b,60,3
648,Type b,54,3
649,Type b,97,3
650,Type b,68,3
651,Type b,57,3
652,Type b,25,3
653,Type b,14,3
654,Type b,40,3
655,Type b,27,3
656,Type b,92,3
657,Type b,64,3
658,Type b,85,3
659,Type b,61,3
660,Type b,45,3
661,Type b,27,3
662,Type b,40,3
663,Type b,72,3
664,Type a,2,3
665,Type b,51,3
666,Type b,22,3
667,Type b,33,3
668,Type b,88,3
669,Type a,2,3
670,Type b,81,3
671,Type b,40,3
672,Type b,76,3
673,Type b,39,3
674,Type a,4,3
675,Type b,59,3
676,Type b,108,3
677,Type b,48,3
678,Type b,20,3
679,Type a,1,3
680,Type b,33,3
681,Type b,52,3
682,Type b,90,3
683,Type b,31,3
684,Type b,25,3
685,Type b,40,3
686,Type b,47,3
687,Type b,54,3
688,Type b,52,3
689,Type b,69,3
690,Type b,32,3
691,Type b,60,3
692,Type b,20,3
693,Type a,2,3
694,Type b,52,3
695,Type b,67,3
696,Type b,83,3
697,Type b,70,3
698,Type b,61,3
699,Type b,84,3
700,Type b,16,3
701,Type a,5,3
702,Type b,41,3
703,Type b,18,3
704,Type b,29,3
705,Type b,26,3
706,Type b,47,3
707,Type b,42,3
708,Type b,44,3
709,Type b,39,3
710,Type b,33,3
711,Type b,30,3
712,Type b,71,3
713,Type b,71,3
714,Type b,48,3
715,Type b,40,3
716,Type b,47,3
717,Type b,45,3
718,Type b,36,3
719,Type b,45,3
720,Type b,44,3
721,Type b,39,3
722,Type b,42,3
723,Type b,53,3
724,Type a,2,3
725,Type b,72,3
726,Type b,34,3
727,Type b,62,3
728,Type b,30,3
729,Type b,83,3
730,Type a,5,3
731,Type b,36,3
732,Type b,43,3
733,Type b,41,3
734,Type b,30,3
735,Type a,2,3
736,Type b,23,3
737,Type b,57,3
738,Type a,5,3
739,Type a,5,3
740,Type b,52,3
741,Type b,44,3
742,Type b,43,3
743,Type b,68,3
744,Type b,62,3
745,Type b,20,3
746,Type b,20,3
747,Type b,75,3
748,Type b,45,3
749,Type b,21,3
750,Type b,58,3
751,Type b,31,3
752,Type a,3,3
753,Type a,4,3
754,Type b,34,3
755,Type b,79,3
756,Type b,44,3
757,Type b,28,3
758,Type b,67,3
759,Type b,48,3
760,Type b,51,3
761,Type b,68,3
762,Type b,25,3
763,Type b,89,3
764,Type b,52,3
765,Type b,14,3
766,Type b,33,3
767,Type b,22,3
768,Type a,6,3
769,Type b,20,3
770,Type b,36,3
771,Type b,69,3
772,Type b,54,3
773,Type b,59,3
774,Type a,1,3
775,Type a,6,3
776,Type a,3,3
777,Type b,22,3
778,Type b,53,3
779,Type b,52,3
780,Type b,52,3
781,Type b,98,3
782,Type b,37,3
783,Type b,67,3
784,Type b,36,3
785,Type b,92,3
786,Type b,92,3
787,Type b,36,3
788,Type b,27,3
789,Type b,90,3
790,Type b,55,3
791,Type b,40,3
792,Type b,82,3
793,Type b,55,3
794,Type b,28,3
795,Type b,43,3
796,Type b,13,3
797,Type b,49,3
798,Type b,49,3
799,Type a,6,3
800,Type b,40,3
801,Type b,66,3
802,Type a,1,3
803,Type b,32,3
804,Type a,3,3
805,Type b,26,3
806,Type b,34,3
807,Type b,97,3
808,Type a,4,3
809,Type b,37,3
810,Type b,59,3
811,Type b,40,3
812,Type b,54,3
813,Type b,45,3
814,Type b,41,3
815,Type b,93,3
816,Type b,55,3
817,Type b,63,3
818,Type b,25,3
819,Type b,42,3
820,Type b,7,3
821,Type b,18,3
822,Type b,25,3
823,Type b,75,3
824,Type b,48,3
825,Type b,83,3
826,Type b,37,3
827,Type b,35,3
828,Type a,2,3
829,Type b,48,3
830,Type b,38,3
831,Type b,55,3
832,Type b,65,3
833,Type b,53,3
834,Type b,35,3
835,Type b,67,3
836,Type b,63,3
837,Type b,89,3
838,Type a,3,3
839,Type b,55,3
840,Type b,53,3
841,Type b,50,3
842,Type b,38,3
843,Type a,3,3
844,Type b,53,3
845,Type b,62,3
846,Type b,49,3
847,Type b,52,3
848,Type b,67,3
849,Type b,28,3
850,Type b,43,3
851,Type b,47,3
852,Type b,42,3
853,Type b,31,3
854,Type b,30,3
855,Type b,58,3
856,Type b,74,3
857,Type b,115,3
858,Type b,43,3
859,Type b,22,3
860,Type b,41,3
861,Type b,68,3
862,Type b,54,3
863,Type b,29,3
864,Type b,18,3
865,Type b,62,3
866,Type a,4,3
867,Type b,92,3
868,Type b,35,3
869,Type b,45,3
870,Type b,94,3
871,Type b,48,3
872,Type b,46,3
873,Type b,22,3
874,Type b,23,3
875,Type b,45,3
876,Type b,25,3
877,Type b,75,3
878,Type b,38,3
879,Type b,23,3
880,Type b,58,3
881,Type a,8,3
882,Type b,72,3
883,Type b,26,3
884,Type b,47,3
885,Type b,27,3
886,Type b,28,3
887,Type b,28,3
888,Type b,52,3
889,Type b,55,3
890,Type b,36,3
891,Type b,71,3
892,Type a,1,3
893,Type b,53,3
894,Type b,42,3
895,Type b,53,3
896,Type b,21,3
897,Type b,41,3
898,Type b,60,3
899,Type b,33,3
900,Type b,23,3
901,Type b,45,3
902,Type b,83,3
903,Type a,1,3
904,Type b,35,3
905,Type b,86,3
906,Type b,65,3
907,Type b,35,3
908,Type b,38,3
909,Type b,37,3
910,Type b,61,3
911,Type b,45,3
912,Type a,6,3
913,Type b,59,3
914,Type b,56,3
915,Type b,34,3
916,Type b,68,3
917,Type b,30,3
918,Type b,22,3
919,Type b,47,3
920,Type b,50,3
921,Type b,55,3
922,Type a,4,3
923,Type b,35,3
924,Type b,15,3
925,Type b,40,3
926,Type b,28,3
927,Type b,30,3
928,Type b,16,3
929,Type b,40,3
930,Type b,68,3
931,Type b,44,3
932,Type b,45,3
933,Type b,53,3
934,Type b,41,3
935,Type b,26,3
936,Type b,31,3
937,Type a,0,3
938,Type a,6,3
939,Type b,48,3
940,Type b,32,3
941,Type b,71,3
942,Type b,42,3
943,Type b,20,3
944,Type b,61,3
945,Type a,10,3
946,Type b,47,3
947,Type b,43,3
948,Type b,34,3
949,Type b,27,3
950,Type b,30,3
951,Type b,33,3
952,Type b,42,3
953,Type b,32,3
954,Type b,40,3
955,Type b,51,3
956,Type b,66,3
957,Type b,29,3
958,Type b,29,3
959,Type b,40,3
960,Type b,63,3
961,Type b,15,3
962,Type b,28,3
963,Type b,33,3
964,Type b,33,3
965,Type b,37,3
966,Type b,38,3
967,Type b,77,3
968,Type b,31,3
969,Type b,46,3
970,Type b,33,3
971,Type b,36,3
972,Type b,20,3
973,Type b,31,3
974,Type a,0,3
975,Type b,44,3
976,Type b,70,3
977,Type a,1,3
978,Type b,72,3
979,Type b,53,3
980,Type b,45,3
981,Type b,53,3
982,Type b,24,3
983,Type b,26,3
984,Type b,51,3
985,Type b,3,3
986,Type b,78,3
987,Type b,47,3
988,Type a,13,3
989,Type b,68,3
990,Type b,45,3
991,Type b,62,3
992,Type b,48,3
993,Type b,52,3
994,Type b,50,3
995,Type b,51,3
996,Type b,44,3
997,Type b,29,3
998,Type b,76,3
999,Type b,42,3
1000,Type b,70,3
1001,Type b,37,3
1002,Type b,82,3
1003,Type a,1,3
1004,Type b,29,3
1005,Type b,36,3
1006,Type b,30,3
1007,Type b,65,3
1008,Type a,0,3
1009,Type b,37,3
1010,Type b,50,3
1011,Type a,9,3
1012,Type b,45,3
1013,Type b,46,3
1014,Type b,22,3
1015,Type b,37,3
1016,Type a,1,3
1017,Type b,32,3
1018,Type b,24,3
