# Network edges data
# Layout: spring
# N: 28005, m: 2
# h: 0.7, f_a: 1
# Initial core size (n0): 5
# Added nodes: 28000
# Generated: 2026-03-18T18:26:12.046114
source,target,source_origin,target_origin,source_type,target_type
284,64,added,added,Type a,Type a
284,138,added,added,Type a,Type a
285,36,added,added,Type a,Type a
285,27,added,added,Type a,Type a
286,137,added,added,Type a,Type a
286,175,added,added,Type a,Type a
287,1,added,initial_core,Type a,Type a
287,158,added,added,Type a,Type a
288,116,added,added,Type a,Type a
288,33,added,added,Type a,Type a
289,47,added,added,Type a,Type a
289,29,added,added,Type a,Type a
290,154,added,added,Type a,Type a
290,102,added,added,Type a,Type a
291,85,added,added,Type a,Type a
291,256,added,added,Type a,Type a
292,1,added,initial_core,Type a,Type a
292,268,added,added,Type a,Type a
293,45,added,added,Type a,Type a
293,261,added,added,Type a,Type a
294,7,added,added,Type a,Type a
294,0,added,initial_core,Type a,Type a
295,4,added,initial_core,Type a,Type a
295,168,added,added,Type a,Type a
296,95,added,added,Type a,Type a
296,0,added,initial_core,Type a,Type a
297,0,added,initial_core,Type a,Type a
297,228,added,added,Type a,Type a
298,168,added,added,Type a,Type a
298,247,added,added,Type a,Type a
299,68,added,added,Type a,Type a
299,250,added,added,Type a,Type a
300,169,added,added,Type a,Type a
300,55,added,added,Type a,Type a
301,73,added,added,Type a,Type a
301,4,added,initial_core,Type a,Type a
302,199,added,added,Type a,Type a
302,2,added,initial_core,Type a,Type a
303,55,added,added,Type a,Type a
303,183,added,added,Type a,Type a
304,4,added,initial_core,Type a,Type a
304,2,added,initial_core,Type a,Type a
305,1,added,initial_core,Type a,Type a
305,35,added,added,Type a,Type a
306,4,added,initial_core,Type a,Type a
306,142,added,added,Type a,Type a
307,148,added,added,Type a,Type a
307,29,added,added,Type a,Type a
308,138,added,added,Type a,Type a
308,102,added,added,Type a,Type a
309,11,added,added,Type a,Type a
309,12,added,added,Type a,Type a
310,172,added,added,Type a,Type a
310,27,added,added,Type a,Type a
311,302,added,added,Type a,Type a
311,24,added,added,Type a,Type a
312,85,added,added,Type a,Type a
312,28,added,added,Type a,Type a
313,1,added,initial_core,Type a,Type a
313,85,added,added,Type a,Type a
314,1,added,initial_core,Type a,Type a
314,103,added,added,Type a,Type a
315,2,added,initial_core,Type a,Type a
315,98,added,added,Type a,Type a
316,4,added,initial_core,Type a,Type a
316,22,added,added,Type a,Type a
317,126,added,added,Type a,Type a
317,119,added,added,Type a,Type a
318,124,added,added,Type a,Type a
318,258,added,added,Type a,Type a
319,85,added,added,Type a,Type a
319,69,added,added,Type a,Type a
320,4,added,initial_core,Type a,Type a
320,93,added,added,Type a,Type a
321,2,added,initial_core,Type a,Type a
321,190,added,added,Type a,Type a
322,1,added,initial_core,Type a,Type a
322,2,added,initial_core,Type a,Type a
323,8,added,added,Type a,Type a
323,76,added,added,Type a,Type a
324,6,added,added,Type a,Type a
324,2,added,initial_core,Type a,Type a
325,98,added,added,Type a,Type a
325,55,added,added,Type a,Type a
326,264,added,added,Type a,Type a
326,210,added,added,Type a,Type a
327,31,added,added,Type a,Type a
327,84,added,added,Type a,Type a
328,39,added,added,Type a,Type a
328,1,added,initial_core,Type a,Type a
329,233,added,added,Type a,Type a
329,20,added,added,Type a,Type a
330,143,added,added,Type a,Type a
330,106,added,added,Type a,Type a
331,0,added,initial_core,Type a,Type a
331,61,added,added,Type a,Type a
332,2,added,initial_core,Type a,Type a
332,309,added,added,Type a,Type a
333,169,added,added,Type a,Type a
333,36,added,added,Type a,Type a
334,204,added,added,Type a,Type a
334,312,added,added,Type a,Type a
335,159,added,added,Type a,Type a
335,113,added,added,Type a,Type a
336,30,added,added,Type a,Type a
336,61,added,added,Type a,Type a
337,284,added,added,Type a,Type a
337,3,added,initial_core,Type a,Type a
338,144,added,added,Type a,Type a
338,50,added,added,Type a,Type a
339,100,added,added,Type a,Type a
339,151,added,added,Type a,Type a
340,143,added,added,Type a,Type a
340,22,added,added,Type a,Type a
341,27,added,added,Type a,Type a
341,210,added,added,Type a,Type a
342,108,added,added,Type a,Type a
342,16,added,added,Type a,Type a
343,28,added,added,Type a,Type a
343,4,added,initial_core,Type a,Type a
344,103,added,added,Type a,Type a
344,46,added,added,Type a,Type a
345,106,added,added,Type a,Type a
345,98,added,added,Type a,Type a
346,2,added,initial_core,Type a,Type a
346,54,added,added,Type a,Type a
347,2,added,initial_core,Type a,Type a
347,14,added,added,Type a,Type a
348,326,added,added,Type a,Type a
348,264,added,added,Type a,Type a
349,160,added,added,Type a,Type a
349,2,added,initial_core,Type a,Type a
350,143,added,added,Type a,Type a
350,20,added,added,Type a,Type a
351,199,added,added,Type a,Type a
351,17,added,added,Type a,Type a
352,107,added,added,Type a,Type a
352,12,added,added,Type a,Type a
353,85,added,added,Type a,Type a
353,249,added,added,Type a,Type a
354,46,added,added,Type a,Type a
354,243,added,added,Type a,Type a
355,227,added,added,Type a,Type a
355,1,added,initial_core,Type a,Type a
356,99,added,added,Type a,Type a
356,80,added,added,Type a,Type a
357,186,added,added,Type a,Type a
357,169,added,added,Type a,Type a
358,4,added,initial_core,Type a,Type a
358,0,added,initial_core,Type a,Type a
359,151,added,added,Type a,Type a
359,136,added,added,Type a,Type a
360,39,added,added,Type a,Type a
360,152,added,added,Type a,Type a
361,98,added,added,Type a,Type a
361,2,added,initial_core,Type a,Type a
362,0,added,initial_core,Type a,Type a
362,128,added,added,Type a,Type a
363,37,added,added,Type a,Type a
363,156,added,added,Type a,Type a
364,169,added,added,Type a,Type a
364,205,added,added,Type a,Type a
365,104,added,added,Type a,Type a
365,9,added,added,Type a,Type a
366,244,added,added,Type a,Type a
366,34,added,added,Type a,Type a
367,284,added,added,Type a,Type a
367,16,added,added,Type a,Type a
368,354,added,added,Type a,Type a
368,321,added,added,Type a,Type a
369,3,added,initial_core,Type a,Type a
369,202,added,added,Type a,Type a
370,42,added,added,Type a,Type a
370,17,added,added,Type a,Type a
371,8,added,added,Type a,Type a
371,24,added,added,Type a,Type a
372,37,added,added,Type a,Type a
372,71,added,added,Type a,Type a
373,7,added,added,Type a,Type a
373,152,added,added,Type a,Type a
374,22,added,added,Type a,Type a
374,315,added,added,Type a,Type a
375,247,added,added,Type a,Type a
375,345,added,added,Type a,Type a
376,253,added,added,Type a,Type a
376,312,added,added,Type a,Type a
377,2,added,initial_core,Type a,Type a
377,63,added,added,Type a,Type a
378,263,added,added,Type a,Type a
378,330,added,added,Type a,Type a
379,58,added,added,Type a,Type a
379,10,added,added,Type a,Type a
380,2,added,initial_core,Type a,Type a
380,24,added,added,Type a,Type a
381,39,added,added,Type a,Type a
381,1,added,initial_core,Type a,Type a
382,312,added,added,Type a,Type a
382,284,added,added,Type a,Type a
383,2,added,initial_core,Type a,Type a
383,234,added,added,Type a,Type a
384,7,added,added,Type a,Type a
384,130,added,added,Type a,Type a
385,22,added,added,Type a,Type a
385,174,added,added,Type a,Type a
386,205,added,added,Type a,Type a
386,101,added,added,Type a,Type a
387,16,added,added,Type a,Type a
387,201,added,added,Type a,Type a
388,62,added,added,Type a,Type a
388,284,added,added,Type a,Type a
389,247,added,added,Type a,Type a
389,115,added,added,Type a,Type a
390,330,added,added,Type a,Type a
390,12,added,added,Type a,Type a
391,121,added,added,Type a,Type a
391,276,added,added,Type a,Type a
392,19,added,added,Type a,Type a
392,307,added,added,Type a,Type a
393,37,added,added,Type a,Type a
393,364,added,added,Type a,Type a
394,22,added,added,Type a,Type a
394,313,added,added,Type a,Type a
395,85,added,added,Type a,Type a
395,17,added,added,Type a,Type a
396,84,added,added,Type a,Type a
396,364,added,added,Type a,Type a
397,385,added,added,Type a,Type a
397,46,added,added,Type a,Type a
398,125,added,added,Type a,Type a
398,103,added,added,Type a,Type a
399,103,added,added,Type a,Type a
399,251,added,added,Type a,Type a
400,264,added,added,Type a,Type a
400,81,added,added,Type a,Type a
401,85,added,added,Type a,Type a
